# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,
# V min: 5.19534, V max: 5.23541,,,,,,
# I min: 0.31158, I max: 0.51002,,,,,,
Time,Voltage,Current,Capacity,Energy,,,
12.4,5.22309,0.32713,0.00129498,0.00169494,,,125
12.5,5.22309,0.32713,0.00130407,0.0017068,,,126
12.6,5.22305,0.32706,0.00131315,0.00171867,,,127
12.7,5.22293,0.35311,0.0013226,0.00173147,,,128
12.8,5.21036,0.37002,0.00133264,0.00174489,,,129
12.9,5.2225,0.33076,0.00134238,0.00175689,,,130
13,5.22254,0.33071,0.00135156,0.00176888,,,131
13.1,5.2225,0.33067,0.00136075,0.00178087,,,132
13.2,5.2225,0.33074,0.00136994,0.00179287,,,133
13.3,5.2225,0.33072,0.00137912,0.00180486,,,134
13.4,5.2225,0.33079,0.00138831,0.00181686,,,135
13.5,5.2225,0.31581,0.00139729,0.00182831,,,136
13.6,5.22246,0.33083,0.00140627,0.00184031,,,137
13.7,5.22254,0.3309,0.00141546,0.00185231,,,138
13.8,5.2227,0.32981,0.00142464,0.00186428,,,139
13.9,5.22305,0.34068,0.00143395,0.00187663,,,140
14,5.22324,0.33819,0.00144338,0.0018889,,,141
14.1,5.22317,0.3272,0.00145262,0.00190077,,,142
14.2,5.22309,0.32718,0.00146171,0.00191264,,,143
14.3,5.22301,0.32723,0.0014708,0.0019245,,,144
14.4,5.22297,0.32737,0.00147989,0.00193638,,,145
14.5,5.22293,0.32735,0.00148899,0.00194825,,,146
14.6,5.22297,0.3274,0.00149808,0.00196013,,,147
14.7,5.22289,0.33844,0.00150733,0.0019724,,,148
14.8,5.22297,0.41901,0.00151785,0.0019876,,,149
14.9,5.22281,0.38668,0.00152904,0.00200162,,,150
15,5.22277,0.31382,0.00153877,0.00201301,,,151
15.1,5.22277,0.31681,0.00154753,0.0020245,,,152
15.2,5.22281,0.3274,0.00155647,0.00203637,,,153
15.3,5.22297,0.32743,0.00156557,0.00204825,,,154
15.4,5.22301,0.32736,0.00157466,0.00206012,,,155
15.5,5.22305,0.37052,0.00158435,0.00207356,,,156
15.6,5.22262,0.31879,0.00159393,0.00208512,,,157
15.7,5.22262,0.31407,0.00160272,0.00209651,,,158
15.8,5.22262,0.31332,0.00161143,0.00210788,,,159
15.9,5.2227,0.31308,0.00162013,0.00211923,,,160
16,5.22262,0.31656,0.00162888,0.00213071,,,161
16.1,5.2227,0.33037,0.00163786,0.00214269,,,162
16.2,5.22274,0.33033,0.00164704,0.00215467,,,163
16.3,5.22262,0.33037,0.00165621,0.00216666,,,164
16.4,5.22262,0.33036,0.00166539,0.00217864,,,165
16.5,5.22266,0.31631,0.00167437,0.00219011,,,166
16.6,5.22289,0.31233,0.0016831,0.00220144,,,167
16.7,5.22305,0.31407,0.0016918,0.00221283,,,168
16.8,5.22305,0.31432,0.00170053,0.00222423,,,169
16.9,5.22297,0.31656,0.00170929,0.00223571,,,170
17,5.22297,0.33819,0.00171839,0.00224798,,,171
17.1,5.22309,0.32711,0.00172763,0.00225985,,,172
17.2,5.2232,0.32715,0.00173672,0.00227171,,,173
17.3,5.2232,0.32712,0.0017458,0.00228358,,,174
17.4,5.2232,0.32705,0.00175489,0.00229544,,,175
17.5,5.22324,0.31382,0.00176379,0.00230682,,,176
17.6,5.22317,0.32715,0.00177269,0.00231869,,,177
17.7,5.22317,0.32709,0.00178178,0.00233055,,,178
17.8,5.22313,0.34068,0.00179105,0.00234291,,,179
17.9,5.22313,0.34043,0.00180051,0.00235526,,,180
18,5.22313,0.3271,0.00180978,0.00236712,,,181
18.1,5.22297,0.32705,0.00181887,0.00237898,,,182
18.2,5.22289,0.32703,0.00182795,0.00239085,,,183
18.3,5.22274,0.35659,0.00183745,0.00240378,,,184
18.4,5.22238,0.33023,0.00184699,0.00241575,,,185
18.5,5.22234,0.33021,0.00185616,0.00242773,,,186
18.6,5.22238,0.3302,0.00186533,0.00243971,,,187
18.7,5.2225,0.3302,0.0018745,0.00245168,,,188
18.8,5.22258,0.34864,0.00188393,0.00246433,,,189
18.9,5.22262,0.33069,0.00189337,0.00247632,,,190
19,5.22262,0.31357,0.00190232,0.00248769,,,191
19.1,5.21036,0.375,0.00191188,0.00250129,,,192
19.2,5.22254,0.33065,0.00192168,0.00251328,,,193
19.3,5.2225,0.33071,0.00193087,0.00252528,,,194
19.4,5.22297,0.32762,0.00194001,0.00253716,,,195
19.5,5.22297,0.32759,0.00194911,0.00254904,,,196
19.6,5.22293,0.33919,0.00195837,0.00256135,,,197
19.7,5.22293,0.31382,0.00196744,0.00257273,,,198
19.8,5.22297,0.31308,0.00197615,0.00258408,,,199
19.9,5.22297,0.3272,0.00198504,0.00259595,,,200
20,5.22297,0.31681,0.00199398,0.00260744,,,201
20.1,5.22297,0.32723,0.00200293,0.00261931,,,202
20.2,5.22297,0.32719,0.00201202,0.00263118,,,203
20.3,5.22305,0.32717,0.00202111,0.00264305,,,204
20.4,5.22305,0.32717,0.00203019,0.00265491,,,205
20.5,5.22313,0.3271,0.00203928,0.00266678,,,206
20.6,5.22317,0.31357,0.00204818,0.00267815,,,207
20.7,5.22313,0.31407,0.0020569,0.00268954,,,208
20.8,5.22313,0.31407,0.00206562,0.00270094,,,209
20.9,5.22309,0.32721,0.00207453,0.0027128,,,210
21,5.22309,0.37848,0.00208433,0.00272653,,,211
21.1,5.22274,0.32902,0.00209416,0.00273846,,,212
21.2,5.22266,0.33024,0.00210331,0.00275044,,,213
21.3,5.2227,0.33019,0.00211248,0.00276242,,,214
21.4,5.22266,0.31482,0.00212144,0.00277383,,,215
21.5,5.2225,0.31233,0.00213015,0.00278516,,,216
21.6,5.22246,0.31308,0.00213884,0.00279652,,,217
21.7,5.22246,0.33023,0.00214777,0.00280849,,,218
21.8,5.22242,0.33022,0.00215695,0.00282047,,,219
21.9,5.22238,0.3302,0.00216612,0.00283244,,,220
22,5.22242,0.33027,0.00217529,0.00284442,,,221
22.1,5.22262,0.32925,0.00218445,0.00285636,,,222
22.2,5.22289,0.31581,0.00219341,0.00286782,,,223
22.3,5.22281,0.31357,0.00220215,0.00287919,,,224
